File,Cluster
1704.02621,4
1704.03012,0
1704.03732,4
1704.04408,0
1704.04664,4
1704.05569,0
1704.05692,3
1704.06084,0
1704.06131,1
1704.06300,3
1704.06498,4
1704.06654,2
1704.06942,1
1704.07466,0
1704.07503,4
1704.07950,1
1704.08350,2
1705.00154,4
1705.01817,1
1705.02476,3
1705.02518,2
1705.02553,1
1705.02620,1
1705.02668,2
1705.02843,3
1705.04530,2
1705.05316,1
1705.05326,1
1705.05427,0
1705.05983,2
1705.06564,1
1705.06578,1
1705.07177,4
1705.07339,1
1705.08039,4
1705.08926,3
1705.09058,1
1705.09231,4
1705.09545,1
1705.09844,1
1705.10217,0
1705.10219,2
1705.10557,2
1705.10868,3
1706.00536,0
1706.00638,2
1706.02274,2
1706.02444,4
1706.02794,1
1706.02796,2
1706.03021,2
1706.03254,1
1706.04038,4
1706.05643,1
1706.06328,2
1706.06383,0
1706.06952,3
1706.06975,1
1706.07160,0
1706.08001,4
1706.08106,3
1706.08611,1
1706.09767,0
1706.10117,1
1707.00112,2
1707.00228,1
1707.00614,2
1707.01068,2
1707.01891,3
1707.03232,4
1707.03739,1
1707.03743,4
1707.03872,1
1707.04016,1
1707.04106,1
1707.04298,1
1707.04584,1
1707.05152,1
1707.05173,0
1707.05654,1
1707.06766,2
1707.07298,2
1707.07794,0
1707.09079,1
1707.09098,4
1708.00102,4
1708.00463,4
1708.02167,2
1708.02378,3
1708.03019,1
1708.03151,1
1708.04352,0
1708.04806,4
1708.05296,3
1708.06233,2
1708.06246,4
1708.06266,4
1708.06716,2
1708.07867,4
1708.07938,0
1708.08296,2
1709.00149,0
1709.00539,4
1709.00670,0
1709.01122,1
1709.01308,4
1709.02357,4
1709.02435,2
1709.03136,0
1709.03270,0
1709.03363,2
1709.03879,0
1709.03946,2
1709.04029,1
1709.04271,4
1709.04328,1
1709.04571,1
1709.04794,4
1709.05077,3
1709.06166,4
1709.06493,4
1709.07150,4
1709.07417,4
1709.07597,1
1709.08027,4
1709.08233,3
1709.08448,0
1709.09480,2
1709.09534,2
1709.09585,4
1709.09586,4
1709.09611,0
1709.09741,2
1709.10256,2
1710.01447,2
1710.02648,2
1710.02714,0
1710.03390,1
1710.03748,0
1710.03792,3
1710.04459,0
1710.08986,1
1710.09300,4
1710.10093,2
1711.00399,2
1711.00698,0
1711.01503,4
1711.01703,2
1711.03752,1
1711.04013,2
1711.04036,2
1711.04203,2
1711.04259,3
1711.04329,0
1711.05227,1
1711.05401,4
1711.05509,1
1711.05788,1
1711.06128,2
1711.06431,4
1711.06588,4
1711.06605,2
1711.06892,1
1711.06930,1
1711.07273,2
1711.07321,1
1711.07414,2
1711.08345,3
1711.09048,4
1711.09602,2
1711.10046,4
1711.10401,1
1711.10768,2
1711.10907,4
1711.11017,0
1712.00547,2
1712.00840,0
1712.01235,3
1712.01328,2
1712.04065,1
1712.04155,2
1712.04170,0
1712.04415,0
1712.05302,1
1712.06560,4
1712.06935,3
1712.07165,4
1712.07305,0
1712.08858,2
1801.00631,2
1801.00702,1
1801.00712,3
1801.00815,2
1801.01000,4
1801.01422,2
1801.01704,2
1801.01705,2
1801.02281,0
1801.02940,2
1801.03354,1
1801.03355,1
1801.03526,1
1801.03737,1
1801.04170,2
1801.04345,2
1801.04346,2
1801.05462,1
1801.05707,1
1801.07161,1
1801.07729,0
1801.07964,2
1801.08641,4
1801.09466,2
1801.10287,1
1801.10459,4
1801.10467,0
1801.10495,1
1802.00048,2
1802.00923,0
1802.02172,2
1802.02434,1
1802.03375,1
1802.03417,3
1802.04095,1
1802.04887,2
1802.06588,3
1802.06866,2
1802.07489,1
1802.07810,2
1802.08802,0
1802.09100,2
1802.10054,2
1803.00546,4
1803.00612,4
1803.01468,2
1803.01648,2
1803.01690,4
1803.02018,3
1803.03021,3
1803.04474,4
1803.05457,0
1803.06064,0
1803.06818,2
