,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.NE,16,2,0,2,0,7,1,12,0,1,1,0,0,3,7,0,0,0,0,0,1,2,75,1,0,0,0,0,98,0,0,0,0,0,5,0,3,3,0,1
cs.NI,1,3,0,0,1,0,33,11,6,2,29,0,0,4,0,0,0,0,7,2,0,64,23,0,1,3,0,0,1,365,1,0,0,0,5,0,1,6,6,7
cs.OH,4,2,0,2,0,2,6,1,7,2,4,1,0,0,1,0,0,1,0,2,0,7,1,0,0,0,0,0,0,8,5,0,0,0,2,0,0,3,3,4
cs.OS,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1
cs.PF,0,2,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,5,1,0,2,1,0,0,0,5,1,0
cs.PL,4,2,0,0,0,9,8,1,1,0,13,0,0,2,0,1,0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,94,0,0,0,23,0,0
cs.RO,19,2,0,5,0,4,2,98,2,1,2,0,0,4,2,0,0,5,0,26,0,5,57,0,6,0,1,0,0,3,1,0,0,2,822,0,0,9,0,9
cs.SC,0,0,2,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,3,5,0,0,1,0,0,0,0,0,0,1,0,13,0,0,0,1
cs.SD,1,0,0,1,0,29,4,53,0,0,0,0,0,0,0,0,0,0,0,1,1,4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,143,3,0,0
cs.SE,17,0,0,0,0,36,34,4,14,8,17,6,0,1,0,0,0,1,0,17,3,0,23,7,0,0,1,0,3,4,0,0,0,9,0,0,0,368,6,4
cs.SI,6,0,0,1,0,20,3,2,23,2,0,2,0,7,0,0,0,0,6,5,12,2,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,228,0
cs.SY,2,2,0,4,0,0,3,0,1,0,4,0,0,0,1,1,0,0,3,0,0,10,16,4,3,0,0,0,0,7,0,0,0,0,12,1,1,1,0,77
