,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.DC,3,13,0,0,1,1,21,5,11,13,240,1,0,11,0,0,0,0,3,3,1,10,44,5,1,0,3,1,2,27,0,0,2,3,5,1,0,22,5,2
cs.DL,0,0,0,0,0,9,3,4,10,8,1,86,0,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
cs.DM,5,0,8,0,5,3,0,0,1,0,1,1,25,29,0,1,0,0,1,1,0,11,1,7,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0
cs.DS,8,0,5,0,4,0,2,5,0,11,14,1,8,125,0,0,0,0,10,0,2,6,29,1,2,0,2,1,2,1,0,0,0,0,1,1,0,1,7,0
cs.ET,0,9,0,2,0,0,4,2,2,0,4,0,0,0,24,0,0,0,0,0,0,9,16,0,1,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0
cs.FL,1,0,5,0,1,1,0,0,0,0,0,0,3,4,2,45,0,0,1,0,0,2,4,15,0,0,0,0,0,0,0,0,0,5,1,1,0,3,1,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,2,7,1,0,34,0,0,2,0,0,1,0,0,0,12,0,4,0,2,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,2,1
cs.GT,12,0,1,0,0,0,3,1,2,1,1,0,1,7,0,2,0,0,162,1,2,13,19,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1
cs.HC,31,0,0,1,0,28,12,31,54,4,1,4,0,0,0,0,0,4,3,233,11,1,18,0,0,1,0,0,0,4,0,0,0,3,19,0,6,17,7,0
cs.IR,10,0,0,0,0,80,2,11,15,13,0,12,0,2,0,0,0,0,1,5,217,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0
cs.IT,3,1,4,4,1,2,19,11,0,0,13,3,5,4,0,0,0,0,5,1,0,940,37,3,0,2,0,1,3,65,0,0,0,1,3,0,4,0,4,5
cs.LG,64,11,3,5,2,97,68,244,20,6,19,1,1,7,3,0,0,3,12,16,11,36,2449,1,7,0,0,0,29,11,0,0,0,4,50,1,12,21,17,11
cs.LO,23,1,7,1,2,2,11,1,1,4,4,2,3,7,0,10,0,0,3,1,0,2,7,182,0,0,0,0,0,2,0,0,0,20,0,2,0,16,2,1
cs.MA,18,0,1,1,0,1,2,0,2,0,3,0,0,0,0,0,0,0,6,1,0,3,17,2,26,0,0,0,0,3,0,0,0,0,13,0,0,2,2,6
cs.MM,1,0,0,0,0,7,4,38,0,0,0,0,0,0,0,0,0,2,0,7,3,3,0,0,0,8,0,0,0,7,0,0,0,0,0,0,2,0,2,0
cs.MS,1,0,0,0,0,0,2,1,0,1,9,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,3,0,1,0,5,0,0
cs.NA,0,0,1,11,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,6,2,0,0,0,4,0,0,0,0,0,0,1,1,0,2,0,1
cs.NE,15,3,0,2,1,6,1,13,0,1,1,0,0,4,6,0,0,0,0,0,0,2,84,1,0,0,0,0,81,1,0,0,0,1,9,0,3,4,1,1
cs.NI,3,2,0,1,1,0,36,10,5,1,29,0,0,3,0,0,0,0,5,1,2,65,29,0,0,4,0,0,1,361,0,1,1,0,7,0,0,4,9,1
cs.OH,4,3,0,2,0,1,7,2,6,2,4,1,0,0,2,0,0,1,0,2,0,7,1,0,0,0,0,0,0,5,2,0,0,0,3,0,0,7,2,4
cs.OS,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1
cs.PF,1,0,0,0,0,1,2,1,0,0,17,0,0,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,7,1,0,1,1,0,0,0,3,1,0
cs.PL,5,3,1,0,0,10,9,0,1,0,9,1,0,2,0,2,0,0,0,1,0,0,1,25,0,0,0,0,1,1,0,0,0,92,0,0,0,20,0,0
cs.RO,20,2,1,5,1,4,0,113,1,0,8,1,0,1,1,0,0,1,0,22,0,6,66,1,5,0,0,0,2,4,1,0,0,0,796,1,0,10,0,14
cs.SC,0,0,3,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,3,4,5,0,0,0,1,1,0,0,0,0,1,0,11,0,0,0,0
cs.SD,0,0,0,1,0,39,4,63,0,0,0,0,0,0,0,0,0,0,0,2,2,4,19,0,0,0,0,0,0,0,0,0,0,0,1,0,114,2,0,0
cs.SE,20,1,0,2,0,34,25,4,16,7,16,7,1,0,0,0,0,1,0,12,3,0,25,9,0,0,1,0,2,3,0,0,0,7,1,0,0,382,3,1
cs.SI,5,0,0,1,0,17,1,8,24,0,1,5,1,8,0,0,0,0,5,6,10,2,53,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,233,0
cs.SY,2,1,0,4,0,0,3,0,1,0,1,0,0,2,0,1,0,0,2,0,0,12,18,5,5,0,0,0,0,8,1,0,0,1,10,0,0,0,0,76
