,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.DC,5,12,0,2,0,1,25,4,7,11,247,0,0,14,0,0,0,0,3,2,2,7,38,7,2,0,2,2,2,19,0,2,2,5,5,0,0,26,5,1
cs.DL,1,0,0,1,0,12,1,2,7,7,1,87,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
cs.DM,3,0,5,0,8,1,1,0,2,1,1,0,26,29,0,1,0,0,2,1,0,10,2,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0
cs.DS,8,2,2,0,3,2,2,4,0,8,13,1,9,123,0,0,1,1,9,0,1,8,29,3,1,0,1,2,1,4,0,0,0,0,1,1,0,2,6,1
cs.ET,0,8,0,4,0,0,3,1,3,0,3,0,0,0,30,0,0,0,0,0,0,11,11,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,1
cs.FL,2,0,4,0,1,3,0,0,0,0,1,0,3,3,2,49,0,0,0,0,0,1,2,16,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,2,0,0,2,5,1,0,32,0,0,2,0,0,1,0,0,0,16,0,5,0,2,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,1,0
cs.GT,10,0,2,0,0,0,5,0,3,1,1,0,0,6,0,1,0,0,170,1,1,10,21,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
cs.HC,28,0,0,1,0,28,11,32,48,3,1,3,0,0,0,0,0,3,2,246,9,1,15,0,0,0,0,0,0,4,0,0,0,1,24,0,5,18,10,0
cs.IR,9,0,0,0,0,85,3,13,10,12,0,11,0,3,0,0,0,0,1,6,206,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17,0
cs.IT,2,1,3,4,1,3,16,11,1,1,13,3,5,2,1,0,0,0,3,0,0,947,37,2,1,1,0,3,2,65,2,0,0,0,3,2,2,0,2,5
cs.LG,56,18,5,6,2,86,49,243,17,4,19,1,0,8,3,0,0,1,13,11,17,25,2493,1,6,1,0,0,24,10,0,0,0,2,56,1,13,23,19,9
cs.LO,24,1,8,1,2,1,9,1,1,5,6,1,3,3,0,8,0,0,2,1,0,0,5,187,0,0,0,0,0,1,0,0,0,24,0,1,0,21,1,0
cs.MA,19,0,1,0,0,1,2,0,5,0,2,0,0,0,0,0,0,0,8,2,0,3,19,1,22,0,0,0,0,0,0,0,0,0,14,0,0,2,2,6
cs.MM,1,0,0,0,0,9,4,40,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,2,0,1,0
cs.MS,1,0,0,1,0,1,2,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,8,0,0,0,0,0,0,3,0,0,0,5,0,0
cs.NA,0,0,0,10,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,7,3,0,0,0,6,0,0,0,0,0,0,2,1,0,1,0,0
cs.NE,14,1,0,1,0,5,2,16,0,0,1,0,0,3,8,0,0,0,1,0,1,3,75,1,0,0,0,0,98,0,0,0,0,1,5,0,2,3,0,0
cs.NI,2,2,0,0,1,0,32,10,7,3,25,0,0,3,2,0,0,0,7,2,1,58,25,0,1,4,0,0,1,371,0,0,0,0,9,0,0,4,8,4
cs.OH,4,1,0,2,0,2,7,2,9,0,3,1,0,0,1,0,0,1,0,1,0,7,1,0,0,0,0,0,0,6,7,0,0,0,2,0,0,5,2,4
cs.OS,0,0,0,0,0,0,2,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1
cs.PF,0,2,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,6,1,0,3,1,0,0,0,4,1,1
cs.PL,4,2,0,0,0,8,10,0,1,2,10,0,0,2,0,1,0,0,0,0,0,0,1,22,0,0,0,0,1,1,1,0,0,91,0,0,0,27,0,0
cs.RO,19,0,1,4,1,4,3,100,3,0,5,0,0,3,1,0,0,1,0,23,0,5,57,0,3,0,1,1,1,3,1,0,0,1,820,0,0,14,0,12
cs.SC,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,3,6,0,0,1,1,1,0,0,0,0,0,0,14,0,0,0,0
cs.SD,0,0,0,1,0,37,3,50,0,0,0,0,0,0,0,0,0,0,0,2,1,1,14,0,0,0,0,0,0,0,0,0,0,0,2,0,139,1,0,0
cs.SE,19,0,0,1,0,36,31,2,16,8,19,10,0,0,0,0,0,1,0,15,3,0,21,7,0,0,1,0,3,4,0,0,0,7,0,0,0,372,4,3
cs.SI,3,0,0,1,0,18,1,5,24,1,0,4,1,6,0,0,0,0,6,5,14,3,60,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,227,0
cs.SY,2,2,0,3,0,0,3,0,1,0,2,0,1,1,0,1,0,0,2,0,0,12,18,5,4,0,0,0,0,8,0,0,0,0,13,0,1,0,0,74
