,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.MA,17,0,0,0,0,1,2,0,5,0,2,0,0,0,0,0,0,0,8,1,0,2,19,2,25,0,0,0,0,1,1,0,0,0,14,0,0,1,2,6
cs.MM,1,0,0,0,0,8,6,35,0,0,0,0,0,0,0,0,0,2,0,8,2,2,0,0,0,10,0,0,0,7,0,0,0,0,0,0,2,0,1,0
cs.MS,1,0,0,0,0,1,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,1,0,0,2,0,2,0,5,0,0
cs.NA,0,0,0,7,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,7,2,0,0,0,8,1,0,0,0,0,0,1,1,0,1,0,1
cs.NE,15,1,0,2,0,9,1,11,0,1,2,0,0,1,7,0,0,0,0,1,0,2,74,0,0,0,0,0,101,0,0,0,0,0,4,0,3,5,1,0
cs.NI,2,2,0,0,1,0,32,8,5,2,25,0,0,5,0,0,0,0,8,1,1,63,25,0,0,3,0,0,3,370,1,0,0,0,8,0,1,4,8,4
cs.OH,4,2,0,2,0,2,5,2,7,1,2,1,0,0,2,0,0,1,0,2,0,7,3,0,0,0,0,0,0,7,5,0,0,0,3,0,0,5,3,2
cs.OS,0,0,0,0,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1
cs.PF,0,3,0,1,0,0,0,0,0,1,21,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,0,0,2,1,0,0,0,4,0,0
cs.PL,3,2,0,0,0,8,9,0,1,1,11,0,0,2,0,1,0,0,0,1,0,0,1,26,0,0,0,0,0,1,1,0,0,94,0,0,0,22,0,0
cs.RO,15,0,1,3,1,4,1,100,1,0,5,0,0,3,1,0,0,3,0,24,0,7,52,0,6,0,0,0,2,4,2,0,0,0,829,0,0,13,0,10
cs.SC,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,3,4,6,0,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0
cs.SD,0,0,0,1,0,34,4,44,0,0,0,0,0,0,0,0,0,0,0,2,1,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,150,2,0,0
cs.SE,16,0,0,0,0,33,27,2,15,7,20,6,0,1,0,0,0,1,0,12,1,0,23,8,0,0,1,0,2,4,0,0,0,8,0,0,0,388,5,3
cs.SI,5,0,0,1,0,15,2,4,21,1,0,6,0,8,0,0,0,0,5,5,11,2,55,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,238,0
cs.SY,2,2,0,3,0,0,3,0,1,0,2,0,1,0,1,1,0,0,2,0,0,10,17,4,5,0,0,0,0,8,1,0,0,0,10,0,1,0,0,79
