,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.MS,0,0,0,1,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,9,1,0,0,0,0,0,3,0,2,0,5,0,0
cs.NA,0,0,0,8,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,7,2,0,0,0,8,1,0,0,0,0,0,1,1,0,1,0,0
cs.NE,18,0,0,2,0,8,1,13,0,0,2,0,0,5,7,0,0,0,0,0,0,2,67,1,0,0,0,0,104,0,0,0,0,0,6,0,1,3,1,0
cs.NI,2,2,0,0,1,0,32,9,5,1,26,0,0,3,0,0,0,0,6,2,1,63,26,0,1,3,0,0,2,371,1,0,0,0,7,0,2,5,7,4
cs.OH,4,1,0,2,0,2,5,2,7,0,4,1,0,0,0,0,0,1,0,1,0,5,3,0,0,0,0,0,0,6,7,0,0,0,3,0,0,7,3,4
cs.OS,0,2,0,0,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1
cs.PF,0,3,0,0,0,0,0,0,1,1,15,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,6,0,0,5,1,0,0,0,6,0,0
cs.PL,4,2,0,0,0,7,8,0,1,0,12,0,0,2,0,1,0,0,1,1,0,0,0,25,0,0,0,0,0,1,1,0,0,94,0,0,0,24,0,0
cs.RO,21,1,1,2,1,4,3,91,2,0,4,0,0,3,2,0,0,2,0,22,0,6,55,0,5,0,0,1,1,3,4,1,0,0,831,0,0,11,0,10
cs.SC,0,0,1,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,3,4,7,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0
cs.SD,0,0,0,1,0,35,1,39,0,0,0,0,0,0,0,0,0,0,0,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,156,2,0,0
cs.SE,21,0,0,1,0,37,25,3,16,10,11,7,0,0,0,0,0,1,0,15,3,0,22,6,0,0,1,0,2,5,1,0,0,9,1,0,0,378,5,3
cs.SI,6,0,0,1,0,19,1,3,19,1,0,4,1,7,0,0,0,0,6,5,7,2,61,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,233,1
cs.SY,1,1,0,2,0,0,3,0,1,0,2,0,0,1,1,1,0,0,2,0,1,8,17,4,5,0,0,0,0,9,1,0,0,0,10,0,1,1,0,81
